,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-> Scroll right for raw data from llm for comparison,,,,,,,,,,,,,,,,,LLM-Extracted Data,,,,,,,,,,,,,,,,,
Paper Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"75 cm single row dripline spacing, evapotranspiration-based","Agricultural Experiment Station, Damascus, Syria",36 26' E,33 20' N,600m,Clay loam,34 * 12 square meters,2017-2018,Sweet Corn,67000 plants/ha,,14.31 T/ha,,1.97 kg/m^3,The Response of Two Drip-Irrigated Sweet Corn Varieties to the Twin-Row Production System in the Dry Mediterranean Region,2025-09-12 4:41:38,,,Single-row system at 75-cm crop row spacing with 75-cm dripline spacing,"Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,18th April 2017,Zea mays L. (Silver Queen),67000 plants ha-1,,14.31 t ha-1,,1.97 kg m-3,http://dx.doi.org/10.1016/j.agwat.2008.03.002,2025-09-12 4:41:38,8,
,"150 cm single row dripline spacing, evapotranspiration-based","Agricultural Experiment Station, Damascus, Syria",36 26' E,33 20' N,600m,Clay loam,34 * 12 square meters,2017-2018,Sweet Corn,67000 plants/ha,,11.95 T/ha,,1.65 kg/m^3,https://doi.org/10.2174/1874331502014010009,2025-09-12 4:41:38,,,Single-row system at 75-cm crop row spacing with 150-cm dripline spacing,"Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,18th April 2017,Zea mays L. (Silver Queen),67000 plants ha-1,,11.95 t ha-1,,1.65 kg m-3,http://dx.doi.org/10.1016/j.agwat.2008.03.002,2025-09-12 4:41:38,8,
,"150 cm twin row dripline spacing, evapotranspiration_based","Agricultural Experiment Station, Damascus, Syria",36 26' E,33 20' N,600m,Clay loam,34 * 12 square meters,2017-2018,Sweet Corn,67000 plants/ha,,14.09 T/ha,,1.94 kg/m^3,https://doi.org/10.2174/1874331502014010009,2025-09-12 4:41:38,,,"Twin-row system, 37.5 cm apart, on 150-cm centers with 150-cm dripline spacing","Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,18th April 2017,Zea mays L. (Silver Queen),67000 plants ha-1,,14.09 t ha-1,,1.94 kg m-3,http://dx.doi.org/10.1016/j.agwat.2008.03.002,2025-09-12 4:41:38,8,
,Evapotranspiration-based,"Agricultural Experiment Station, Damascus, Syria",36 26' E,33 20' N,600m,Clay loam,34 * 12 square meters,2017-2018,"local ""White Kobab"" sweet corn",67000 plants/ha,,13.93 T/ha,,1.92 kg/m^3,https://doi.org/10.2174/1874331502014010009,2025-09-12 4:41:38,,,Single-row system at 75-cm crop row spacing with 75-cm dripline spacing,"Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,3rd April 2018,Zea mays L. (Silver Queen),67000 plants ha-1,,14.31 t ha-1,,1.97 kg m-3,http://dx.doi.org/10.1016/j.agwat.2008.03.002,2025-09-12 4:41:38,8,
,Evapotranspiration-based,"Agricultural Experiment Station, Damascus, Syria",36 26' E,33 20' N,600m,Clay loam,34 * 12 square meters,2017-2018,"""Silver Queen"" sweet corn",67000 plants/ha,,12.97 T/a,,1.79 kg/m^3,https://doi.org/10.2174/1874331502014010009,2025-09-12 4:41:38,,,Single-row system at 75-cm crop row spacing with 150-cm dripline spacing,"Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,3rd April 2018,Zea mays L. (Silver Queen),67000 plants ha-1,,11.95 t ha-1,,1.65 kg m-3,http://dx.doi.org/10.1016/j.agwat.2008.03.002,2025-09-12 4:41:38,8,
,,,,,,,,,,,,,,,,,,,"Twin-row system, 37.5 cm apart, on 150-cm centers with 150-cm dripline spacing","Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,3rd April 2018,Zea mays L. (Silver Queen),67000 plants ha-1,,14.09 t ha-1,,1.94 kg m-3,http://dx.doi.org/10.1016/j.agwat.2008.03.002,2025-09-12 4:41:38,8,
,,,,,,,,,,,,,,,,,,,Single-row system at 75-cm crop row spacing with 75-cm dripline spacing,"Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,18th April 2017,Zea mays L. (White Kokab),67000 plants ha-1,,13.93 t ha-1,,1.92 kg m-3,http://dx.doi.org/10.1016/j.agwat.2008.03.002,2025-09-12 4:41:38,8,
,,,,,,,,,,,,,,,,,,,Single-row system at 75-cm crop row spacing with 150-cm dripline spacing,"Agricultural Experiment Station, Damascus, Syria",33°20′ N,36°26′ E,600 m,clay,,18th April 2017,Zea mays L. (White Kokab),67000 plants ha-1,,13.93 t ha-1,,1.92 kg m-3,http://dx.doi.org/10.1016/j.agwat.2008.03.002,2025-09-12 4:41:38,8,
