,altitude_numeric,latitude_decimal_degrees,longitude_decimal_degrees,plant_yield_kg_per_hectare
0,37.0,40.178611,116.44425,60572.74244999999
1,36.0,40.178611,116.44416666666667,53505.77129999999
2,37.0,40.178611,116.44425,58549.7199
5,1550.0,8.4,39.35,4555.0
8,1550.0,8.4,39.35,5160.0
9,1550.0,8.4,39.35,4940.0
10,1550.0,8.4,39.35,4710.0
11,1550.0,8.4,39.35,3590.0
12,1550.0,8.4,39.35,2670.0
13,600.0,33.333333333333336,36.43333333333333,12981.81735
14,600.0,33.333333333333336,36.43333333333333,10840.860749999998
15,600.0,33.333333333333336,36.43333333333333,12782.23665
16,600.0,33.333333333333336,36.43333333333333,12981.81735
17,600.0,33.333333333333336,36.43333333333333,10840.860749999998
18,600.0,33.333333333333336,36.43333333333333,12782.23665
19,600.0,33.333333333333336,36.43333333333333,12637.087049999998
20,600.0,33.333333333333336,36.43333333333333,12637.087049999998
27,1550.0,8.4,39.35,4555.0
28,1550.0,8.4,39.35,3475.0
29,1550.0,8.4,39.35,2510.0
30,1550.0,8.4,39.35,5160.0
31,1550.0,8.4,39.35,4940.0
32,1550.0,8.4,39.35,4710.0
33,1550.0,8.4,39.35,3590.0
34,1550.0,8.4,39.35,2670.0
113,1550.0,8.4,39.35,5085.0
114,1550.0,8.4,39.35,4830.0
115,1550.0,8.4,39.35,4555.0
116,1550.0,8.4,39.35,3475.0
117,1550.0,8.4,39.35,2510.0
118,1550.0,8.4,39.35,5160.0
119,1550.0,8.4,39.35,4940.0
120,1550.0,8.4,39.35,4710.0
121,1550.0,8.4,39.35,3590.0
122,1550.0,8.4,39.35,2670.0
125,1550.0,8.4,39.35,4555.0
126,1550.0,8.4,39.35,3475.0
127,1550.0,8.4,39.35,2510.0
128,1550.0,8.4,39.35,5160.0
129,1550.0,8.4,39.35,4940.0
130,1550.0,8.4,39.35,4710.0
131,1550.0,8.4,39.35,3590.0
132,1550.0,8.4,39.35,2670.0
133,1563.0,8.4,39.35,17.423224
134,1563.0,8.4,39.35,23.688392
135,1563.0,8.4,39.35,23.37608
136,1563.0,8.4,39.35,21.161504
137,1563.0,8.4,39.35,17.082520000000002
138,1563.0,8.4,39.35,18.577832
139,1563.0,8.4,39.35,24.672648
140,1563.0,8.4,39.35,24.32248
141,1563.0,8.4,39.35,21.076328
142,1563.0,8.4,39.35,17.60304
143,1563.0,8.4,39.35,15.52096
144,1563.0,8.4,39.35,22.202544
145,1563.0,8.4,39.35,21.899696
146,1563.0,8.4,39.35,20.20564
147,1563.0,8.4,39.35,14.62188
148,600.0,33.333333333333336,36.43333333333333,12981.81735
